"","congress","speaker","position","party","date"
"273","1993_berlin","Carola Hartfelder",-1.68615653762979,"CDU","9/12/1993"
"274","1993_berlin","Christa Reichard",-0.585061135964382,"CDU","9/12/1993"
"275","1993_berlin","Christian Wulff",0.613392780924318,"CDU","9/12/1993"
"276","1993_berlin","Christine Lieberknecht",1.08987583320956,"CDU","9/12/1993"
"277","1993_berlin","Dieter Althaus",-0.416697316422055,"CDU","9/12/1993"
"278","1993_berlin","Dirk Fischer",0.662232426688582,"CDU","9/12/1993"
"279","1993_berlin","Eberhard Diepgen",1.63194383698412,"CDU","9/12/1993"
"280","1993_berlin","Edward-Errol Jaffke",-0.995421155872554,"CDU","9/12/1993"
"281","1993_berlin","Elisabeth Rickal",-0.495236708972993,"CDU","9/12/1993"
"282","1993_berlin","Erwin Teufel",0.480112809307168,"CDU","9/12/1993"
"283","1993_berlin","Georg Gölter",0.573048647711362,"CDU","9/12/1993"
"284","1993_berlin","Georg Jarzembowski",0.000626939469271013,"CDU","9/12/1993"
"285","1993_berlin","Gerhard Mayer-Vorfelder",0.320660340335637,"CDU","9/12/1993"
"286","1993_berlin","Gisela Junker",0.781415318828237,"CDU","9/12/1993"
"287","1993_berlin","Hanna-Renate Laurien",-0.395447663275718,"CDU","9/12/1993"
"288","1993_berlin","Hans-Dieter Burkert",-0.22889333445697,"CDU","9/12/1993"
"289","1993_berlin","Harald Noack",0.248124068489017,"CDU","9/12/1993"
"290","1993_berlin","Hartmut Perschau",-1.56438448619218,"CDU","9/12/1993"
"291","1993_berlin","Heiner Geißler",0.887392089554175,"CDU","9/12/1993"
"292","1993_berlin","Heinz Eggert",0.687873550691098,"CDU","9/12/1993"
"293","1993_berlin","Heinz Paus",-0.95351176026022,"CDU","9/12/1993"
"294","1993_berlin","Heinz-Adolf Hörsken",0.898187153576797,"CDU","9/12/1993"
"295","1993_berlin","Helmut Kohl",1.93968368374741,"CDU","9/12/1993"
"296","1993_berlin","Helmut Rauber",-0.680454323047629,"CDU","9/12/1993"
"297","1993_berlin","Herbert Reul",0.000800204814140704,"CDU","9/12/1993"
"298","1993_berlin","Herman Gröhe",0.637127441662525,"CDU","9/12/1993"
"299","1993_berlin","Hubert Scharf",-1.79689535869246,"CDU","9/12/1993"
"300","1993_berlin","Inge Rauschning",-1.2056359657846,"CDU","9/12/1993"
"301","1993_berlin","Inge Velte",-1.08484213303879,"CDU","9/12/1993"
"302","1993_berlin","Irmgard Vogelsang",-1.47720063169112,"CDU","9/12/1993"
"303","1993_berlin","Jasef Kratt",0.601670322963861,"CDU","9/12/1993"
"304","1993_berlin","Joachim Schempf",-1.58754787386401,"CDU","9/12/1993"
"305","1993_berlin","Johann Wadephul",-0.0835144402704748,"CDU","9/12/1993"
"306","1993_berlin","Johannes Gerster",0.442311320047334,"CDU","9/12/1993"
"307","1993_berlin","Jürgen Langner",0.946379098522608,"CDU","9/12/1993"
"308","1993_berlin","Jürgen Schreier",0.0677882299991381,"CDU","9/12/1993"
"309","1993_berlin","Karl-Josef Laumann",0.032447818044495,"CDU","9/12/1993"
"310","1993_berlin","Klaus Bregger",0.473550121402237,"CDU","9/12/1993"
"311","1993_berlin","Klaus Herrmann",0.230769480195765,"CDU","9/12/1993"
"312","1993_berlin","Klaus Landowsky",-2.32013801831566,"CDU","9/12/1993"
"313","1993_berlin","Klaus Panther",-0.616145912526081,"CDU","9/12/1993"
"314","1993_berlin","Klaus Töpfer",0.866200001429491,"CDU","9/12/1993"
"315","1993_berlin","Kurt Biedenkopf",0.99957761678183,"CDU","9/12/1993"
"316","1993_berlin","Maria Böhmer",0.27770570844943,"CDU","9/12/1993"
"317","1993_berlin","Melmut Bongartz",-1.11319858278785,"CDU","9/12/1993"
"318","1993_berlin","Morst Nolte",-1.34443668434298,"CDU","9/12/1993"
"319","1993_berlin","Nikolaus Kierher",-0.635981462728303,"CDU","9/12/1993"
"320","1993_berlin","Norbert Blüm",0.529752266872926,"CDU","9/12/1993"
"321","1993_berlin","Norbert Lammert",0.377781775746229,"CDU","9/12/1993"
"322","1993_berlin","Oliver Rössler",-0.878807346677007,"CDU","9/12/1993"
"323","1993_berlin","Peter Hans",0.486126274578023,"CDU","9/12/1993"
"324","1993_berlin","Peter Hintze",1.70720613736133,"CDU","9/12/1993"
"325","1993_berlin","Reinhard Göhner",0.988797173156822,"CDU","9/12/1993"
